review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R28RB82UG4RDD5,5,20,20,N,Y
R3FB6BERWPEIJP,4,40,43,N,Y
R1D4Z38STRDQXK,5,53,56,N,Y
R1XMWJZICINIFX,3,20,21,N,Y
R20QKY1GABXFLM,1,272,297,N,Y
R3DH22AA5WGLLS,5,30,30,N,N
R1E0E5EFZSLJCS,1,66,80,N,Y
R1TXZQWEHYWEWN,2,48,51,N,Y
RQQAI8YL3UCY2,5,23,25,N,Y
R3PZNAQREFUNJ7,4,28,35,N,Y
R3SHJSHTY8AXKR,5,69,72,N,Y
R2QM1JXA2XI7XA,3,61,68,N,Y
R1SVJ6XDBCQNSN,3,29,30,N,Y
R1IEABNX71GK3B,1,54,58,N,N
R16QL1GNQVT4G9,5,117,119,N,Y
R1MV4YDD6O5UME,5,30,32,N,N
R2M7TEVV9YSLTR,5,94,96,N,Y
R3BAP1S0295WA4,5,248,259,N,N
RUDQ2KHBY4I5O,5,66,69,N,Y
RO36WR5NPQNUU,1,45,47,N,Y
RU1J46UT6V0JD,5,25,29,N,N
R3UPJ5Y3F10891,5,45,49,N,Y
R2AEYWMQPOHVVH,2,21,23,N,Y
RUOS97BPV7QDT,5,34,37,N,Y
R2C4FJ9LFIWF3V,1,21,23,N,Y
R2OPPUYNVUC8LK,5,58,59,N,Y
R3HGI0GZ00RXYB,5,70,71,N,Y
R99YRDTZHUK3V,3,75,89,N,Y
R2F9J2XKTN8DGU,5,294,304,N,Y
R2JGMUR35WF4SN,4,29,29,N,Y
R3CPDG063VULZT,5,31,37,N,N
R1LD3GD3N915WO,5,21,24,N,Y
R1OWPTOZEG8ZCB,5,35,36,N,Y
RJEW34RXE2CKW,5,23,23,N,Y
R3UC54YLBGMLM8,5,31,31,N,Y
R34I621EPAP7A2,5,21,22,N,Y
R2R7XXO43LJ73M,2,68,99,N,N
R2OQEZ71PJS3EI,5,33,39,N,N
R3CEHLKFUZ1A3R,5,54,57,N,Y
R236DYO8YN6IO7,1,28,28,N,Y
RPBJX4V03YJOF,1,30,41,N,Y
RVQV89PIIXEVR,1,26,28,N,Y
R3P4FC7MVGRRQE,1,324,368,N,Y
R5YAUH7DE260J,5,40,42,N,Y
R3NPOGYN0PYY3F,5,22,25,N,N
R1QES14RPI3VGO,4,72,76,N,Y
RH53NO42DEHBR,5,29,32,N,N
RDUV29QJ1DAHY,1,60,68,N,Y
R3106H67ZHLGOJ,4,28,41,N,Y
R3D3MUMATEGM9Y,1,26,27,N,Y
R1Z71RW4J9IK93,5,20,22,Y,N
R31O23V4EPB1CG,5,20,20,N,N
R35BW515RSAZP6,4,40,41,N,Y
R1ZW3KFQYVEJ9,4,83,83,N,N
R2J7MOFELAT6U0,5,40,43,N,Y
R3AWB1EPWV43AB,5,29,30,N,N
R2H8ATZ3QERK6D,4,39,41,N,Y
R3K5O3OIQAHNKN,1,32,38,N,Y
R34IWMOM9S3GTE,5,60,66,N,Y
R2QWWHM29ITUPQ,2,26,30,N,Y
R1TKZ614B5ZRAD,4,31,32,N,Y
R2TJX2WIUAK6NU,1,21,23,N,Y
RM274JYIEJBDN,5,58,59,N,Y
R2G3TGXLZ3DAFR,2,23,26,N,Y
R3PFH1FGEHOIZ0,4,21,26,N,Y
R1SPE2CNAV97K6,5,22,22,N,N
R3HNBWT6PXV917,5,25,27,N,Y
R197I7N0WEPFRS,5,20,21,N,Y
R24DZSF874GMYO,1,50,51,N,Y
R2YA3KCISOZO86,1,134,174,N,Y
R19KEH4EYSPX7M,2,27,29,N,Y
R1OF90O0WC2EVJ,5,25,30,N,N
R2QDIF9KELJC8O,1,50,53,N,Y
R3FVB5QI11KI9Q,4,192,200,Y,N
R388VHTELVTFFT,5,20,23,N,Y
R1UV7OOTB8CCPQ,5,27,27,N,N
R1ZEGRCMN2E77N,5,22,22,N,N
RPSUG77I8EUSA,1,45,45,N,Y
R1W7R7O3AUW3I1,1,39,43,N,Y
R3FTIPAGB16CBU,5,53,53,N,N
R3640U4GQXTUOY,1,56,62,N,Y
R2PS6YJJ1Q4N01,5,75,75,N,Y
R14TNFSLX5BNK9,5,30,31,N,Y
R33L96JO2INIY3,5,57,64,N,N
R3VAL0LNVPUA9B,1,41,72,N,Y
R28E2T065CNC3U,5,48,48,N,Y
R2OO4EIM61E8F8,5,61,64,N,Y
R3CUI13UONUP57,1,24,28,N,Y
R3JO2KF7YJVJQN,1,63,74,N,N
R3PNH7WZSPMJ4S,1,29,30,N,Y
R2JNVN7L7PLP7M,5,24,24,N,N
RKUPQAU7RHNHP,4,26,26,N,Y
R2G027YBMVXV6Y,5,39,48,Y,N
RMOWBL89XYUR9,5,25,26,N,N
RCETWKDS0WVH0,5,21,21,N,N
RWHC6P7YJ88HF,5,74,90,N,N
R30V3L779RVING,1,128,140,N,N
R17YCJKA6PQ3PO,5,35,37,N,Y
R2T9WAHT71N0AE,1,23,27,N,Y
RU8WT3DX41YMP,1,69,76,N,N
RC64BH8C2P9XA,1,28,37,N,N
R497FUHGFY762,1,23,23,N,Y
R3SFFVPT27CIPA,1,54,59,N,Y
R24TGZVXPHE0GG,4,21,21,N,Y
R12RL2PUBB0O8C,5,180,195,N,Y
R1BXCPZTGVHFCB,5,48,50,N,Y
R3P3EUP5GRODFX,5,20,20,N,Y
R1TDOWRLPF7RK8,1,962,1046,N,N
RFK4G5QBW9UY5,5,20,20,N,N
R10J4LA98RLI88,1,21,31,N,Y
RXUY7DS69QY9S,3,20,21,N,Y
R2BMPN2N3FBYMN,5,40,44,N,N
R3NR8N0M1TZKOM,5,28,30,N,Y
R20E0AV84H7NYL,4,40,41,N,N
R2NU92D5DP6HVG,1,20,21,N,Y
R3CSV09DF9EXTO,5,27,27,N,N
RG2H6YG3Q90P1,4,23,24,N,Y
R16E9ZYZNH5IHE,1,25,28,N,Y
RYPEH7JSEH6R5,5,20,21,N,Y
R20B0POXZ71Y8Z,5,92,93,N,N
R1QG9KNSFQ8NIM,3,101,105,N,N
R7KUNBVNB1NEL,5,31,33,N,N
ROTLILLQUUZ2I,5,149,154,N,Y
R2EIW5W4UZAF1N,4,27,28,N,N
R2U23V4HGU0YHL,5,65,69,N,Y
R3FSDP5XYDFJMK,2,35,37,N,N
R3TKZTQ4SK7U0Y,5,44,47,N,Y
R28RXBUQGLAF4E,1,39,50,N,Y
R1QGBAN7BMGWRR,5,121,129,Y,N
R3DIE55Q3NJA6Z,3,27,27,N,Y
R1FNYW9YDSK4O6,1,65,71,N,N
R2PXCEZJ04WIE3,5,21,21,N,Y
R3G8V9KLUCIZ5B,5,48,52,N,Y
R1IBA6IBGC7SGL,1,29,30,N,Y
R384QRYDYKILB6,4,20,21,N,N
RL44WBGJZWA8G,5,22,24,N,Y
R22LW6YJVXNDG8,5,52,55,N,Y
R1JAAKB22GDNZR,5,41,43,N,Y
R1EQ8TJAD2WXPS,3,29,34,N,Y
R1CGJN7Y4I7ME7,5,32,37,N,N
R38HIED97KI4IF,5,35,38,N,N
R2EZKZILIXYJGO,1,34,35,N,Y
RKNQK7ACGMNHM,1,25,29,N,Y
RYYT0NXEK2MQY,3,21,24,N,Y
RGP0XEP3R3WCE,1,39,44,N,Y
R3BXCCXRZTQQMT,5,33,35,N,Y
R1Z1DRBP8UAP85,5,24,26,N,Y
R1W6O633GMXVGS,1,80,89,N,N
R3W4483T7F5ULZ,5,69,73,N,N
R2Q6WPFFZBEFV9,1,22,32,N,Y
R1M86E6SSUFVZ0,5,30,30,N,Y
RHU5BTQNHQFVK,1,168,193,N,Y
R12TVD944G1LYM,2,22,23,N,N
R3SBLCPQIWT5FO,5,33,33,N,Y
R23MZS0D516HVH,5,50,50,N,Y
RP40PPIK4VI4S,5,103,116,N,Y
R3BXAGWD3E9Z8W,2,47,64,N,Y
R2BYCILIMOVEYS,5,34,36,N,Y
R1KFJNHI2VROJ2,5,129,131,N,N
R1EYAWLPW1UE72,3,49,50,N,Y
R2MB60CVMWFCD9,1,32,40,N,Y
R3UJR3RRT1VWQF,5,179,190,N,N
R1SXAUT423KK4D,5,24,25,N,Y
R277YPKZIXMMPG,1,62,63,N,N
R3S61IIBNXU2LA,4,39,39,N,N
R1C6D8PSY1OF3C,4,60,61,N,Y
R25SUR4763AGOD,5,274,289,N,Y
RV7JQ4KGPQYGW,5,38,38,N,Y
R5RLKB9EJ2J3M,1,28,30,N,Y
R3GWMXJK48Q8J0,5,32,32,N,Y
R4ZH2SAGDEBRU,5,27,30,N,Y
R1EEF7GGCJPHI3,5,279,288,N,N
R32ZTMJ2PW430N,5,35,37,N,Y
R5LDFR58ZL2ND,1,20,22,N,N
R11R28EL4Z3CDW,5,310,320,N,Y
RGS9SX10AHNY3,5,29,30,N,N
RC07ME05CFU0G,1,33,44,N,Y
R1A18FJXFLOUT5,5,20,20,N,Y
R3QOE1RFG3C1TL,2,25,26,N,Y
R2YPA955AC6EBW,1,79,82,N,Y
R8DNN4S7R1D2B,4,28,28,N,N
R3HFZSM7EEPPN5,5,26,27,N,Y
R28FUNLONTWCSA,3,45,58,N,N
R1N3M4KGAFHRDO,5,47,53,N,N
RKGEOIAAFZ7FP,5,26,31,N,N
R3H1AC2VQ390LN,4,130,134,N,Y
RMTIXWP0CCE66,5,25,31,N,Y
RA5DR0UAOU45V,5,99,101,N,Y
R1IVVI9TSA0MA0,2,34,34,N,Y
R3NMC625M279ZV,1,30,30,N,Y
R3JDLABJERTS0D,1,44,48,N,Y
R2X4NW0BUDCAVI,5,28,32,N,Y
RR7SLPPG89VAD,5,24,24,N,Y
R3RPUEXQN49MB2,3,40,46,N,Y
R18IY82SE5LCZ8,2,29,31,N,Y
R130AF5NL486YP,2,36,37,N,Y
R3H63Z1D4Z7JTG,3,57,57,N,N
R2V43C5NT99QRD,5,22,22,N,Y
R3U29F7RCTRSCK,5,56,68,N,Y
RJYMLNDBVC63K,1,169,176,N,Y
RUPXCGDLREF6N,3,20,30,N,Y
R2HH1BQHYMDDSP,1,23,26,N,Y
R3E7209GR01JDL,1,50,53,N,N
R1EVQGOQSJKE6I,1,73,78,N,N
